"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE/STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE/STOCK";"AVAILABILITY";"CENTERLINE_PITCH";"COMMENT";"DATASHEET";"DESCRIPTION";"DISTRIBUTOR1";"DISTRIBUTOR2";"GEOMETRY_HEIGHT";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"NUMBER_OF_POSITIONS";"ORDERCODE-DISTRI1";"ORDERCODE-DISTRI2";"ORDERCODE-MANU1";"PACKAGE";"PARTNUMBER";"PRICE";"PRODUCT_TYPE";"PROD_ID";"RS_PART_NUMBER";"RS_PRICE/STOCK";"SF_ID";"SPICEPREFIX";"VALUE";"VENDOR";
"1";"4.7uF";"4.7UF0603";"0603";"C30";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"";"";"4.7uF";"";
"1";"470nF";"470NF-0402-16V-10%";"0402";"C8";"0.47uF/470nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09041";"";"";"";"";"470nF";"";
"3";"47k";"47KOHM-0603-1/10W-1%";"0603";"R39, R40, R41";"47kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07871";"";"";"";"";"47k";"";
"1";"48Ω";"R-US_M0805";"M0805";"R30";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"4N35S";"4N35S";"SOT23-6";"FOCUS, SHUTTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"5600pF";"C-EUC0402";"C0402";"C57";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"7.15k";"RESISTOR0603";"0603";"R50";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"1";"73100-0114";"73100-0114";"73100-0114";"J5";"Molex Right Angle 50ohm";"70357943";"http://www.alliedelec.com/molex-incorporated-73100-0114/70357943/";"73100-0114";"http://uk.rs-online.com/web/p/products/7595252P";"";"";"";"";"Molex Right Angle 50ohm";"";"";"";"mm";"";"Molex";"73100-0114";"";"";"";"";"";"";"";"";"";"";"";"";"7595252P";"http://uk.rs-online.com/web/p/products/7595252P";"";"";"";"";
"1";"7B-16.000MAAJ-T";"7B-16.000MAAJ-T";"7B-16.000MAAJ-T_OSCSC500X320X105-4N";"Y1";"Crystal 16.0000mhz 18pf Smd";"";"";"";"";"";"";"";"";"";"";"";"";"";"TXC Corporation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"8.45k";"RESISTOR0603";"0603";"R43";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
